[DEBUG] 2020-10-04 16:07:50.546 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-10-04 16:07:50.555 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-10-04 16:07:50.576 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-10-04 16:07:50.790 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-10-04 16:07:50.795 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-10-04 16:07:51.144 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-10-04 16:07:51.144 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-10-04 16:07:51.159 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-10-04 16:07:51.717 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-10-04 16:07:51.746 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-10-04 16:07:51.751 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-10-04 16:07:51.784 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-10-04 16:07:51.845 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5496c165
[DEBUG] 2020-10-04 16:07:51.857 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5496c165
[DEBUG] 2020-10-04 16:07:51.857 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@5496c165
[DEBUG] 2020-10-04 16:07:51.857 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@43da41e
[DEBUG] 2020-10-04 16:07:51.865 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@39ad12b6
[DEBUG] 2020-10-04 16:07:51.867 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@6aba5d30
[DEBUG] 2020-10-04 16:07:51.879 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@e322ec9
[DEBUG] 2020-10-04 16:07:51.879 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@e322ec9
[DEBUG] 2020-10-04 16:07:51.879 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@e322ec9
[DEBUG] 2020-10-04 16:07:51.880 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@719bb3b4
[DEBUG] 2020-10-04 16:07:51.880 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@719bb3b4
[DEBUG] 2020-10-04 16:07:51.880 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@719bb3b4
[DEBUG] 2020-10-04 16:07:51.882 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3c782d8e
[DEBUG] 2020-10-04 16:07:51.883 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3c782d8e
[DEBUG] 2020-10-04 16:07:51.883 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3c782d8e
[DEBUG] 2020-10-04 16:07:51.893 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@6bbe50c9
[DEBUG] 2020-10-04 16:07:51.893 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@6bbe50c9
[DEBUG] 2020-10-04 16:07:51.893 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@6bbe50c9
[DEBUG] 2020-10-04 16:07:51.894 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5eb2172
[DEBUG] 2020-10-04 16:07:51.905 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5eb2172
[DEBUG] 2020-10-04 16:07:51.906 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5eb2172
[DEBUG] 2020-10-04 16:07:51.907 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@1744a475
[DEBUG] 2020-10-04 16:07:51.907 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@1744a475
[DEBUG] 2020-10-04 16:07:51.908 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@1744a475
[DEBUG] 2020-10-04 16:07:51.917 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@ca93621
[DEBUG] 2020-10-04 16:07:51.917 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@ca93621
[DEBUG] 2020-10-04 16:07:51.917 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@ca93621
[DEBUG] 2020-10-04 16:07:51.918 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@9d3c67
[DEBUG] 2020-10-04 16:07:51.918 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@9d3c67
[DEBUG] 2020-10-04 16:07:51.920 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@71466383
[DEBUG] 2020-10-04 16:07:51.920 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@71466383
[DEBUG] 2020-10-04 16:07:51.921 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@129fed45
[DEBUG] 2020-10-04 16:07:51.932 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@129fed45
[DEBUG] 2020-10-04 16:07:51.932 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@11b377c5
[DEBUG] 2020-10-04 16:07:51.933 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@702c436b
[DEBUG] 2020-10-04 16:07:51.934 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@37303f12
[DEBUG] 2020-10-04 16:07:51.934 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@37303f12
[DEBUG] 2020-10-04 16:07:51.934 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@2ab5afc7
[DEBUG] 2020-10-04 16:07:51.934 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@2ab5afc7
[DEBUG] 2020-10-04 16:07:51.950 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@69a2b3b6
[DEBUG] 2020-10-04 16:07:51.959 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@69a2b3b6
[DEBUG] 2020-10-04 16:07:51.972 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@46731692
[DEBUG] 2020-10-04 16:07:51.972 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@46731692
[DEBUG] 2020-10-04 16:07:51.973 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@151ef57f
[DEBUG] 2020-10-04 16:07:51.973 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@151ef57f
[DEBUG] 2020-10-04 16:07:51.974 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@497aec8c
[DEBUG] 2020-10-04 16:07:51.974 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@497aec8c
[DEBUG] 2020-10-04 16:07:51.975 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@336880df
[DEBUG] 2020-10-04 16:07:51.976 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@336880df
[DEBUG] 2020-10-04 16:07:51.978 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@129bd55d
[DEBUG] 2020-10-04 16:07:51.988 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@129bd55d
[DEBUG] 2020-10-04 16:07:51.999 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4defd42
[DEBUG] 2020-10-04 16:07:51.999 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4defd42
[DEBUG] 2020-10-04 16:07:52.000 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@2aa6311a
